Date : 2024-03-31 23:52:52
Directory : /Users/omarelmasaoudi/Desktop/medapp
Total : 113 files,  23820 codes, 1040 comments, 1008 blanks, all 25868 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| desktop-client/src/Components/TableComponents                                                                    |          5 |      1,873 |         30 |         96 |      1,999 |
| desktop-client/src/Layout                                                                                        |          3 |        252 |          6 |         16 |        274 |
| desktop-client/src/Pages                                                                                         |         23 |      4,642 |        154 |        251 |      5,047 |
| desktop-client/src/Pages (Files)                                                                                 |          2 |         75 |          6 |          8 |         89 |
| desktop-client/src/Pages/CheckListRequests                                                                       |          3 |        207 |          4 |         11 |        222 |
| desktop-client/src/Pages/Missions                                                                                |          9 |      3,065 |         32 |        153 |      3,250 |
| desktop-client/src/Pages/Orders                                                                                  |          3 |        747 |         68 |         35 |        850 |
| desktop-client/src/Pages/Personele                                                                               |          2 |        459 |         32 |         35 |        526 |
| desktop-client/src/Pages/Registration                                                                            |          2 |          7 |          0 |          3 |         10 |
| desktop-client/src/Pages/Stock                                                                                   |          2 |         82 |         12 |          6 |        100 |
| desktop-client/src/helper                                                                                        |          2 |        110 |          4 |         10 |        124 |
| desktop-client/src/styles                                                                                        |         10 |        417 |         16 |         78 |        511 |
| desktop-client/src/styles (Files)                                                                                |          5 |        207 |         10 |         37 |        254 |
| desktop-client/src/styles/ButtonStyles                                                                           |          1 |         27 |          0 |          7 |         34 |
| desktop-client/src/styles/MapStyles                                                                              |          1 |         21 |          0 |          4 |         25 |
| desktop-client/src/styles/TableStyles                                                                            |          2 |        109 |          6 |         21 |        136 |
| desktop-client/src/styles/css                                                                                    |          1 |         53 |          0 |          9 |         62 |
| desktop-client/tests                                                                                             |          2 |          6 |          0 |          0 |          6 |
| file_service                                                                                                     |          3 |        686 |         22 |        138 |        846 |
| map-service                                                                                                      |          1 |         14 |          3 |          8 |         25 |
| mobile-client                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| nginx                                                                                                            |          2 |         24 |          0 |          9 |         33 |
| stock-management-service                                                                                         |         15 |      1,245 |        618 |         82 |      1,945 |
| stock-management-service (Files)                                                                                 |          4 |      1,141 |          0 |          5 |      1,146 |
| stock-management-service/dist                                                                                    |          6 |         60 |        309 |          6 |        375 |
| stock-management-service/dist (Files)                                                                            |          2 |         44 |          1 |          2 |         47 |
| stock-management-service/dist/routes                                                                             |          4 |         16 |        308 |          4 |        328 |
| stock-management-service/src                                                                                     |          5 |         44 |        309 |         71 |        424 |
| stock-management-service/src (Files)                                                                             |          2 |         34 |          1 |         11 |         46 |
| stock-management-service/src/routes                                                                              |          3 |         10 |        308 |         60 |        378 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| filename                                                                                                         | language              | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| /Users/omarelmasaoudi/Desktop/medapp/.github/workflows/main.yml                                                  | YAML                  |         30 |          0 |          8 |         38 |
| /Users/omarelmasaoudi/Desktop/medapp/.travis.yml                                                                 | YAML                  |         15 |         30 |         13 |         58 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/Dockerfile                                                      | Docker                |         10 |          2 |          5 |         17 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/Personele-Services/MedicalDoctor.go                             | Go                    |          0 |          0 |          1 |          1 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/go.mod                                                          | Go Module File        |          5 |          0 |          2 |          7 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/go.sum                                                          | Go Checksum File      |          0 |          0 |          1 |          1 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/main.go                                                         | Go                    |          7 |          5 |          8 |         20 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/middleware/authMiddleware.go                                    | Go                    |         14 |          0 |          5 |         19 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/middleware/go.mod                                               | Go Module File        |          3 |          0 |          3 |          6 |
| /Users/omarelmasaoudi/Desktop/medapp/GOLANGEXTRA/middleware/go.sum                                               | Go Checksum File      |          2 |          0 |          1 |          3 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/Dockerfile                                                   | Docker                |         10 |          6 |          8 |         24 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/config/env.mjs                                               | JavaScript            |          4 |          0 |          3 |          7 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/config/jest.config.cjs                                       | JavaScript            |          4 |          1 |          1 |          6 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/config/vite.config.js                                        | JavaScript            |         14 |          1 |          2 |         17 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/dist/assets/index-CulDdrOF.js                                | JavaScript            |          7 |          0 |          1 |          8 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/dist/assets/index-oYcq1cPv.css                               | CSS                   |          1 |          0 |          1 |          2 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/dist/assets/main-BnTBRzNv.js                                 | JavaScript            |        830 |         81 |        106 |      1,017 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/dist/assets/main-HupOsEJb.css                                | CSS                   |          1 |          0 |          1 |          2 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/dist/index.html                                              | HTML                  |         30 |          0 |          1 |         31 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/extra/.eslintrc.cjs                                          | JavaScript            |         21 |          0 |          1 |         22 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/extra/README.md                                              | Markdown              |          0 |          0 |          1 |          1 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/global.css                                                   | CSS                   |         27 |          1 |          6 |         34 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/index.html                                                   | HTML                  |         34 |          0 |          1 |         35 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/nginx/default.conf                                           | Properties            |          8 |          0 |          1 |          9 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/package-lock.json                                            | JSON                  |     11,287 |          0 |          1 |     11,288 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/package.json                                                 | JSON                  |         54 |          0 |          1 |         55 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/public/AOM_logo_horizontal.png                               | compressionTargetFile |        148 |          0 |          1 |        149 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/public/aomlogo.png                                           | compressionTargetFile |        415 |          0 |          2 |        417 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/public/tarik_elmasaoudi.png                                  | compressionTargetFile |         26 |          0 |         25 |         51 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/App.jsx                                                  | JavaScript JSX        |         16 |          0 |          3 |         19 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Colors.js                                                | JavaScript            |          8 |          0 |          5 |         13 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/ChecklistComponents/StockCheckLists.jsx       | JavaScript JSX        |        128 |          7 |          5 |        140 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/HomeComponents/DrugRequestsHomeComponents.jsx | JavaScript JSX        |         70 |          1 |          4 |         75 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/HomeComponents/HomeStatistics.jsx             | JavaScript JSX        |        258 |          1 |          9 |        268 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/HomeComponents/OrderComponentsHome.jsx        | JavaScript JSX        |         44 |          0 |          4 |         48 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/InputComponents/ButtonComponents.jsx          | JavaScript JSX        |         47 |          0 |          4 |         51 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/InputComponents/DropdownComponents.jsx        | JavaScript JSX        |         53 |          2 |          8 |         63 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/InputComponents/InputComponents.jsx           | JavaScript JSX        |        228 |          3 |         13 |        244 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/MapComponents/Map.jsx                         | JavaScript JSX        |         44 |          2 |          6 |         52 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/MapComponents/MapSideBar.jsx                  | JavaScript JSX        |        169 |         25 |          8 |        202 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/Modals/AddStockModal.jsx                      | JavaScript JSX        |        115 |          1 |          8 |        124 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/Modals/PersoneleModals.jsx                    | JavaScript JSX        |        218 |         10 |         15 |        243 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/StatComponents/MissionStatComponents.jsx      | JavaScript JSX        |         50 |          0 |          4 |         54 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/StatComponents/StatComponents.jsx             | JavaScript JSX        |         44 |          0 |          3 |         47 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/TableComponents/CreateMissionTables.jsx       | JavaScript JSX        |        182 |          4 |          7 |        193 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/TableComponents/EntryRemovalTable.jsx         | JavaScript JSX        |        492 |          1 |         15 |        508 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/TableComponents/MissionTable.jsx              | JavaScript JSX        |        417 |          0 |         25 |        442 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/TableComponents/OrderTable.jsx                | JavaScript JSX        |        318 |          2 |         22 |        342 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Components/TableComponents/StockTable.jsx                | JavaScript JSX        |        464 |         23 |         27 |        514 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Layout/FunctionalFooter.jsx                              | JavaScript JSX        |         17 |          0 |          4 |         21 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Layout/Header.jsx                                        | JavaScript JSX        |        212 |          1 |          7 |        220 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Layout/HeaderNavData.jsx                                 | JavaScript JSX        |         23 |          5 |          5 |         33 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/CheckListRequests/CheckLists.jsx                   | JavaScript JSX        |         16 |          1 |          3 |         20 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/CheckListRequests/MainRequestChecklist.jsx         | JavaScript JSX        |         92 |          3 |          4 |         99 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/CheckListRequests/Requests.jsx                     | JavaScript JSX        |         99 |          0 |          4 |        103 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Home.jsx                                           | JavaScript JSX        |         63 |          5 |          5 |         73 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Map.jsx                                            | JavaScript JSX        |         12 |          1 |          3 |         16 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/AddMissionPage.jsx                        | JavaScript JSX        |        220 |          0 |         12 |        232 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/ArrivalInfoPage.jsx                       | JavaScript JSX        |        415 |          6 |         34 |        455 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/CrewInfoPage.jsx                          | JavaScript JSX        |        334 |          6 |         13 |        353 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/DrugsEquipmentPage.jsx                    | JavaScript JSX        |        298 |          3 |          8 |        309 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/FakeSummaryData.jsx                       | JavaScript JSX        |        316 |          0 |          8 |        324 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/FlightInfoPage.jsx                        | JavaScript JSX        |        471 |          0 |         24 |        495 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/MissionSummaryPage.jsx                    | JavaScript JSX        |        521 |         12 |         24 |        557 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/Missions.jsx                              | JavaScript JSX        |         63 |          1 |          4 |         68 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Missions/PatientInfoPage.jsx                       | JavaScript JSX        |        427 |          4 |         26 |        457 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Orders/MedicalEquipmentOrders.jsx                  | JavaScript JSX        |        290 |          4 |         16 |        310 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Orders/OrderPageMain.jsx                           | JavaScript JSX        |         82 |         58 |          4 |        144 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Orders/PharamceuticalOrders.jsx                    | JavaScript JSX        |        375 |          6 |         15 |        396 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Personele/PersoneleCalendar.jsx                    | JavaScript JSX        |        121 |          7 |         14 |        142 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Personele/Personnel.jsx                            | JavaScript JSX        |        338 |         25 |         21 |        384 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Registration/SignIn.jsx                            | JavaScript JSX        |          7 |          0 |          2 |          9 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Registration/register.jsx                          | JavaScript JSX        |          0 |          0 |          1 |          1 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Stock/MedicalEquipmentStock.jsx                    | JavaScript JSX        |         72 |         12 |          3 |         87 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/Pages/Stock/PharmaceuticalStock.jsx                      | JavaScript JSX        |         10 |          0 |          3 |         13 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/helper/AuthWrapper.jsx                                   | JavaScript JSX        |         77 |          1 |          4 |         82 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/helper/FileUpload.jsx                                    | JavaScript JSX        |         33 |          3 |          6 |         42 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/main.jsx                                                 | JavaScript JSX        |          9 |          2 |          2 |         13 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/ButtonStyles/TransparentLinks.js                  | JavaScript            |         27 |          0 |          7 |         34 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/ChartStyles.js                                    | JavaScript            |          1 |          0 |          2 |          3 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/FooterStyles.js                                   | JavaScript            |         13 |          0 |          2 |         15 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/HeaderStyles.js                                   | JavaScript            |         82 |          6 |         14 |        102 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/HomeLayout.js                                     | JavaScript            |         36 |          1 |          6 |         43 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/MapStyles/SidebarMapNavs.js                       | JavaScript            |         21 |          0 |          4 |         25 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/RequestsOrderStyles.js                            | JavaScript            |         75 |          3 |         13 |         91 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/TableStyles/MissionTableStyles.js                 | JavaScript            |        101 |          6 |         19 |        126 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/TableStyles/StockTableStyles.js                   | JavaScript            |          8 |          0 |          2 |         10 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/src/styles/css/CustomCalendarStyle.css                       | CSS                   |         53 |          0 |          9 |         62 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/tests/component.test.js                                      | JavaScript            |          3 |          0 |          0 |          3 |
| /Users/omarelmasaoudi/Desktop/medapp/desktop-client/tests/sum.test.js                                            | JavaScript            |          3 |          0 |          0 |          3 |
| /Users/omarelmasaoudi/Desktop/medapp/docker-compose.yml                                                          | YAML                  |         43 |          6 |          7 |         56 |
| /Users/omarelmasaoudi/Desktop/medapp/file_service/ExportPartPOService.js                                         | JavaScript            |        207 |          6 |         39 |        252 |
| /Users/omarelmasaoudi/Desktop/medapp/file_service/ExportTableService.js                                          | JavaScript            |        168 |          5 |         36 |        209 |
| /Users/omarelmasaoudi/Desktop/medapp/file_service/PurchaseOrderService.js                                        | JavaScript            |        311 |         11 |         63 |        385 |
| /Users/omarelmasaoudi/Desktop/medapp/map-service/main.py                                                         | Python                |         14 |          3 |          8 |         25 |
| /Users/omarelmasaoudi/Desktop/medapp/mobile-client/Dockerfile                                                    | Docker                |          0 |          0 |          1 |          1 |
| /Users/omarelmasaoudi/Desktop/medapp/nginx/Dockerfile                                                            | Docker                |          2 |          0 |          1 |          3 |
| /Users/omarelmasaoudi/Desktop/medapp/nginx/default.conf                                                          | Properties            |         22 |          0 |          8 |         30 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/Dockerfile                                         | Docker                |          7 |          0 |          2 |          9 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/dist/db.js                                         | JavaScript            |         17 |          1 |          1 |         19 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/dist/index.js                                      | JavaScript            |         27 |          0 |          1 |         28 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/dist/routes/EntryExitHistory.js                    | JavaScript            |          1 |        107 |          1 |        109 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/dist/routes/MedicalEquipmentStock.js               | JavaScript            |         13 |          0 |          1 |         14 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/dist/routes/MedicalStock.js                        | JavaScript            |          1 |          0 |          1 |          2 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/dist/routes/PharmaStock.js                         | JavaScript            |          1 |        201 |          1 |        203 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/package-lock.json                                  | JSON                  |      1,093 |          0 |          1 |      1,094 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/package.json                                       | JSON                  |         28 |          0 |          1 |         29 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/src/db.ts                                          | TypeScript            |         12 |          1 |          4 |         17 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/src/index.ts                                       | TypeScript            |         22 |          0 |          7 |         29 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/src/routes/EntryExitHistory.ts                     | TypeScript            |          0 |        107 |         22 |        129 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/src/routes/MedicalEquipmentStock.ts                | TypeScript            |         10 |          0 |          6 |         16 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/src/routes/PharmaStock.ts                          | TypeScript            |          0 |        201 |         32 |        233 |
| /Users/omarelmasaoudi/Desktop/medapp/stock-management-service/tsconfig.json                                      | JSON with Comments    |         13 |          0 |          1 |         14 |
| Total                                                                                                            |                       |     23,820 |      1,040 |      1,008 |     25,868 |
+------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
